TaskID,ProjectID,ProjectName,ClientName,ClientCountry,ClientRegion,Industry,AssignedEmployeeID,TaskTitle,SkillDomain,ComplexityTier,PlannedHours,ActualHours,IsHoursOverrun,BillableHourlyRate_USD,TotalBilling_USD,TaskStatus,ClientSatisfactionRating,TaskStartDate,DeliveryDeadline,ActualCompletionDate,IsDeliveryDelayed
TSK-00022,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-13589,Mobile Flutter Biometric Authentication Module (PRJ-904),Software Engineering,Level 1 - Core,28,28.2,True,70.0,1960.0,Scope Revision Requested,3.0,2026-06-14,2026-06-26,,False
TSK-00023,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-11886,Next.js 14 Responsive Executive Dashboard (PRJ-902),Software Engineering,Level 1 - Core,30,28.9,False,75.0,2167.5,Completed,4.5,2025-08-14,2025-08-23,2025-08-21,False
TSK-00024,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-14212,Next.js 14 Responsive Executive Dashboard (PRJ-901),Software Engineering,Level 1 - Core,30,26.5,False,65.0,1722.5,Completed,5.0,2025-09-01,2025-09-12,2025-09-16,True
TSK-00025,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-14678,AWS Terraform Infrastructure as Code Provisioning (PRJ-904),Cloud Architecture,Level 2 - Specialized,45,41.2,False,80.5,3622.5,In Progress,,2026-04-30,2026-05-14,,False
TSK-00026,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-12903,Real-time Kafka Event Streaming for Turnstiles (PRJ-908),Data & AI Engineering,Level 3 - Enterprise Architect,55,57.9,True,91.8,5315.22,Completed,4.5,2026-03-10,2026-03-28,2026-04-01,True
TSK-00027,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-15966,Penetration Testing & Remediation of API Endpoints (PRJ-901),Cybersecurity,Level 2 - Specialized,20,23.5,True,74.75,1756.62,Completed,5.0,2025-12-14,2025-12-21,2025-12-21,False
TSK-00028,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-13790,Next.js 14 Responsive Executive Dashboard (PRJ-904),Software Engineering,Level 1 - Core,30,33.5,True,70.0,2345.0,Completed,5.0,2025-09-13,2025-09-22,2025-09-26,True
TSK-00029,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-10765,Design & Implement RESTful Payment Endpoints (PRJ-902),Software Engineering,Level 2 - Specialized,40,47.0,True,86.25,4053.75,Completed,5.0,2025-08-31,2025-09-13,2025-09-16,True
TSK-00030,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-13105,Fine-Tuning Llama-3 Model for Customer Ticket RAG (PRJ-908),Data & AI Engineering,Level 3 - Enterprise Architect,70,67.0,False,91.8,6150.6,Completed,5.0,2025-01-03,2025-01-25,2025-01-26,True
TSK-00031,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-16418,PostgreSQL to Snowflake Lakehouse Replication (PRJ-908),Data & AI Engineering,Level 3 - Enterprise Architect,60,63.7,True,91.8,5508.0,In Progress,,2026-07-24,2026-08-15,,False
TSK-00032,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-16028,Kubernetes Cluster Hardening & Istio Service Mesh (PRJ-908),DevOps & SRE,Level 3 - Enterprise Architect,35,33.1,False,91.8,3038.58,Completed,5.0,2026-07-10,2026-07-20,2026-07-22,True
TSK-00033,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-11290,Design & Implement RESTful Payment Endpoints (PRJ-901),Software Engineering,Level 2 - Specialized,40,45.7,True,74.75,3416.08,Completed,4.0,2025-02-28,2025-03-16,2025-03-14,False
TSK-00034,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-10983,PySpark ETL Pipeline for Turnstile Telemetry (PRJ-903),Data & AI Engineering,Level 2 - Specialized,50,57.4,True,97.75,5610.85,Completed,5.0,2025-09-10,2025-09-28,2025-10-04,True
TSK-00035,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-12592,GraphQL Gateway Federation & Schema Stitching (PRJ-901),Software Engineering,Level 2 - Specialized,35,31.2,False,74.75,2332.2,Completed,4.5,2025-09-25,2025-10-06,2025-10-08,True
TSK-00036,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-12591,PostgreSQL to Snowflake Lakehouse Replication (PRJ-904),Data & AI Engineering,Level 3 - Enterprise Architect,60,62.9,True,94.5,5944.05,Completed,5.0,2025-03-16,2025-04-02,2025-04-06,True
TSK-00037,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-12860,PySpark ETL Pipeline for Turnstile Telemetry (PRJ-902),Data & AI Engineering,Level 2 - Specialized,50,55.9,True,86.25,4821.38,Completed,5.0,2025-03-12,2025-03-27,2025-03-29,True
TSK-00038,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-16612,Kubernetes Cluster Hardening & Istio Service Mesh (PRJ-905),DevOps & SRE,Level 3 - Enterprise Architect,35,37.4,True,60.75,2272.05,Completed,5.0,2026-06-26,2026-07-06,2026-07-11,True
TSK-00039,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-11101,SOC2 Compliance Evidence Collection Automation (PRJ-905),Cybersecurity,Level 2 - Specialized,32,37.8,True,51.75,1656.0,In Progress,,2025-09-28,2025-10-08,,False
TSK-00040,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-15879,Mobile Flutter Biometric Authentication Module (PRJ-902),Software Engineering,Level 1 - Core,28,31.5,True,75.0,2362.5,Completed,4.5,2025-12-18,2025-12-28,2025-12-29,True
TSK-00041,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-10757,PostgreSQL to Snowflake Lakehouse Replication (PRJ-908),Data & AI Engineering,Level 3 - Enterprise Architect,60,78.2,True,91.8,5508.0,Under Review,,2026-03-10,2026-03-29,,False
TSK-00042,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-11324,Design & Implement RESTful Payment Endpoints (PRJ-901),Software Engineering,Level 2 - Specialized,40,40.7,True,74.75,3042.33,Completed,3.0,2026-03-29,2026-04-14,2026-04-17,True
TSK-00043,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-11222,PySpark ETL Pipeline for Turnstile Telemetry (PRJ-901),Data & AI Engineering,Level 2 - Specialized,50,44.4,False,74.75,3737.5,Under Review,,2026-07-13,2026-07-27,,False
TSK-00044,PRJ-906,Fleet Telematics & IoT Tracking API,LogiTrans Gulf Express,Saudi Arabia,Gulf / MENA,Supply Chain,EMP-12988,GraphQL Gateway Federation & Schema Stitching (PRJ-906),Software Engineering,Level 2 - Specialized,35,39.4,True,69.0,2718.6,Completed,5.0,2025-02-10,2025-02-22,2025-02-22,False
TSK-00045,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-13330,Penetration Testing & Remediation of API Endpoints (PRJ-904),Cybersecurity,Level 2 - Specialized,20,18.0,False,80.5,1610.0,Under Review,,2025-06-08,2025-06-16,,False
TSK-00046,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-10204,Real-time Kafka Event Streaming for Turnstiles (PRJ-903),Data & AI Engineering,Level 3 - Enterprise Architect,55,69.0,True,114.75,6311.25,Under Review,,2025-07-03,2025-07-23,,False
TSK-00047,PRJ-906,Fleet Telematics & IoT Tracking API,LogiTrans Gulf Express,Saudi Arabia,Gulf / MENA,Supply Chain,EMP-16022,Real-time Kafka Event Streaming for Turnstiles (PRJ-906),Data & AI Engineering,Level 3 - Enterprise Architect,55,72.3,True,81.0,4455.0,Under Review,,2025-09-12,2025-09-29,,False
TSK-00048,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-13856,Real-time Kafka Event Streaming for Turnstiles (PRJ-903),Data & AI Engineering,Level 3 - Enterprise Architect,55,66.0,True,114.75,7573.5,Completed,5.0,2025-08-16,2025-09-01,2025-09-05,True
TSK-00049,PRJ-906,Fleet Telematics & IoT Tracking API,LogiTrans Gulf Express,Saudi Arabia,Gulf / MENA,Supply Chain,EMP-11827,PostgreSQL to Snowflake Lakehouse Replication (PRJ-906),Data & AI Engineering,Level 3 - Enterprise Architect,60,75.6,True,81.0,4860.0,Under Review,,2025-01-25,2025-02-16,,False
TSK-00050,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-16336,End-to-End Cypress Integration & Performance Suite (PRJ-904),Quality Engineering,Level 1 - Core,30,30.4,True,70.0,2100.0,Under Review,,2025-10-13,2025-10-24,,False
TSK-00051,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-10945,Penetration Testing & Remediation of API Endpoints (PRJ-907),Cybersecurity,Level 2 - Specialized,20,26.8,True,109.25,2927.9,Completed,3.5,2025-09-25,2025-10-03,2025-10-09,True
TSK-00052,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-12570,Design & Implement RESTful Payment Endpoints (PRJ-905),Software Engineering,Level 2 - Specialized,40,36.2,False,51.75,1873.35,Completed,4.5,2026-03-23,2026-04-08,2026-04-13,True
TSK-00053,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-13573,End-to-End Cypress Integration & Performance Suite (PRJ-902),Quality Engineering,Level 1 - Core,30,39.0,True,75.0,2925.0,Completed,5.0,2025-01-02,2025-01-15,2025-01-20,True
TSK-00054,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-12705,OAuth2.0 / OpenID Multi-Tenant Auth Integration (PRJ-904),Cybersecurity,Level 2 - Specialized,25,26.6,True,80.5,2012.5,In Progress,,2025-11-18,2025-12-01,,False
TSK-00055,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-12673,Mobile Flutter Biometric Authentication Module (PRJ-902),Software Engineering,Level 1 - Core,28,36.4,True,75.0,2730.0,Completed,4.5,2026-02-17,2026-03-03,2026-03-04,True
TSK-00056,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-15549,Next.js 14 Responsive Executive Dashboard (PRJ-903),Software Engineering,Level 1 - Core,30,31.8,True,85.0,2550.0,In Progress,,2025-06-28,2025-07-11,,False
TSK-00057,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-13522,End-to-End Cypress Integration & Performance Suite (PRJ-905),Quality Engineering,Level 1 - Core,30,33.7,True,45.0,1516.5,Completed,5.0,2025-11-26,2025-12-08,2025-12-12,True
TSK-00058,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-16522,Penetration Testing & Remediation of API Endpoints (PRJ-908),Cybersecurity,Level 2 - Specialized,20,19.1,False,78.2,1493.62,Completed,3.5,2025-06-23,2025-07-05,2025-07-03,False
TSK-00059,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-16154,AWS Terraform Infrastructure as Code Provisioning (PRJ-905),Cloud Architecture,Level 2 - Specialized,45,53.2,True,51.75,2753.1,Completed,5.0,2025-08-29,2025-09-16,2025-09-17,True
TSK-00060,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-13893,Real-time Kafka Event Streaming for Turnstiles (PRJ-904),Data & AI Engineering,Level 3 - Enterprise Architect,55,52.2,False,94.5,4932.9,Completed,5.0,2025-03-16,2025-04-03,2025-04-06,True
TSK-00061,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-15375,Mobile Flutter Biometric Authentication Module (PRJ-904),Software Engineering,Level 1 - Core,28,33.5,True,70.0,2345.0,Completed,5.0,2025-01-06,2025-01-15,2025-01-18,True
TSK-00062,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-14567,Kubernetes Cluster Hardening & Istio Service Mesh (PRJ-904),DevOps & SRE,Level 3 - Enterprise Architect,35,43.8,True,94.5,4139.1,Completed,4.5,2025-09-13,2025-09-23,2025-09-27,True
TSK-00063,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-12600,Real-time Kafka Event Streaming for Turnstiles (PRJ-903),Data & AI Engineering,Level 3 - Enterprise Architect,55,59.5,True,114.75,6827.62,Completed,4.5,2026-03-30,2026-04-18,2026-04-23,True
TSK-00064,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-13889,CI/CD Pipeline Optimization with Docker BuildKit (PRJ-907),DevOps & SRE,Level 1 - Core,18,23.5,True,95.0,2232.5,Completed,5.0,2026-04-06,2026-04-14,2026-04-14,False
TSK-00065,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-13604,Real-time Kafka Event Streaming for Turnstiles (PRJ-905),Data & AI Engineering,Level 3 - Enterprise Architect,55,68.1,True,60.75,4137.07,Completed,5.0,2025-03-21,2025-04-10,2025-04-11,True
TSK-00066,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-10661,PostgreSQL to Snowflake Lakehouse Replication (PRJ-904),Data & AI Engineering,Level 3 - Enterprise Architect,60,61.1,True,94.5,5670.0,Under Review,,2025-05-22,2025-06-09,,False
TSK-00067,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-13340,End-to-End Cypress Integration & Performance Suite (PRJ-904),Quality Engineering,Level 1 - Core,30,35.9,True,70.0,2513.0,Completed,5.0,2025-12-05,2025-12-18,2025-12-22,True
TSK-00068,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-14785,Design & Implement RESTful Payment Endpoints (PRJ-907),Software Engineering,Level 2 - Specialized,40,38.1,False,109.25,4162.43,Completed,3.5,2025-01-21,2025-02-06,2025-02-09,True
TSK-00069,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-16847,Design & Implement RESTful Payment Endpoints (PRJ-908),Software Engineering,Level 2 - Specialized,40,52.9,True,78.2,4136.78,Completed,5.0,2026-03-06,2026-03-22,2026-03-27,True
TSK-00070,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-12754,Fine-Tuning Llama-3 Model for Customer Ticket RAG (PRJ-904),Data & AI Engineering,Level 3 - Enterprise Architect,70,67.2,False,94.5,6350.4,Completed,5.0,2026-02-19,2026-03-15,2026-03-14,False
TSK-00071,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-13228,SOC2 Compliance Evidence Collection Automation (PRJ-908),Cybersecurity,Level 2 - Specialized,32,29.2,False,78.2,2283.44,Completed,5.0,2026-08-01,2026-08-16,2026-08-13,False
TSK-00072,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-11489,Penetration Testing & Remediation of API Endpoints (PRJ-902),Cybersecurity,Level 2 - Specialized,20,21.3,True,86.25,1725.0,Under Review,,2025-02-21,2025-03-02,,False
TSK-00073,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-13106,OAuth2.0 / OpenID Multi-Tenant Auth Integration (PRJ-907),Cybersecurity,Level 2 - Specialized,25,23.9,False,109.25,2611.07,Completed,4.0,2025-10-12,2025-10-23,2025-10-24,True
TSK-00074,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-12867,Fine-Tuning Llama-3 Model for Customer Ticket RAG (PRJ-902),Data & AI Engineering,Level 3 - Enterprise Architect,70,60.2,False,101.25,6095.25,Completed,3.0,2025-08-18,2025-09-11,2025-09-09,False
TSK-00075,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-15090,Real-time Kafka Event Streaming for Turnstiles (PRJ-901),Data & AI Engineering,Level 3 - Enterprise Architect,55,47.6,False,87.75,4176.9,Completed,4.0,2025-06-06,2025-06-22,2025-06-21,False
TSK-00076,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-13810,Penetration Testing & Remediation of API Endpoints (PRJ-908),Cybersecurity,Level 2 - Specialized,20,18.1,False,78.2,1564.0,In Progress,,2025-09-20,2025-09-29,,False
TSK-00077,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-16712,GraphQL Gateway Federation & Schema Stitching (PRJ-903),Software Engineering,Level 2 - Specialized,35,40.4,True,97.75,3949.1,Completed,5.0,2025-06-17,2025-06-29,2025-06-27,False
TSK-00078,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-13250,SOC2 Compliance Evidence Collection Automation (PRJ-901),Cybersecurity,Level 2 - Specialized,32,32.2,True,74.75,2406.95,Completed,3.5,2025-07-23,2025-08-02,2025-08-08,True
TSK-00079,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-16599,PySpark ETL Pipeline for Turnstile Telemetry (PRJ-904),Data & AI Engineering,Level 2 - Specialized,50,59.9,True,80.5,4821.95,Completed,4.5,2025-05-04,2025-05-22,2025-05-19,False
TSK-00080,PRJ-906,Fleet Telematics & IoT Tracking API,LogiTrans Gulf Express,Saudi Arabia,Gulf / MENA,Supply Chain,EMP-12796,AWS Terraform Infrastructure as Code Provisioning (PRJ-906),Cloud Architecture,Level 2 - Specialized,45,47.9,True,69.0,3305.1,Completed,4.5,2025-01-13,2025-01-29,2025-02-02,True
TSK-00081,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-15795,End-to-End Cypress Integration & Performance Suite (PRJ-902),Quality Engineering,Level 1 - Core,30,39.9,True,75.0,2992.5,Completed,4.0,2025-06-06,2025-06-18,2025-06-17,False
TSK-00082,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-13569,GraphQL Gateway Federation & Schema Stitching (PRJ-905),Software Engineering,Level 2 - Specialized,35,43.9,True,51.75,2271.82,Completed,4.5,2025-10-02,2025-10-14,2025-10-14,False
TSK-00083,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-15000,PostgreSQL to Snowflake Lakehouse Replication (PRJ-902),Data & AI Engineering,Level 3 - Enterprise Architect,60,77.4,True,101.25,7836.75,Completed,4.5,2026-01-24,2026-02-12,2026-02-09,False
