FiscalYear,FiscalQuarter,Department,Branch,BudgetedHeadcount,AllocatedSalaryBudget_EGP,OvertimeAllowance_EGP
2022,Q1,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,38,1719462,189075.17
2022,Q1,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,72,2117880,222505.5
2022,Q1,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,15,460305,42557.48
2022,Q1,خدمة العملاء والعمليات المساندة,الشرق,21,643167,67727.4
2022,Q1,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,72,2679048,237252.56
2022,Q2,الإدارة المالية,أسيوط - أسيوط الجديدة,39,1901718,214588.32
2022,Q2,الإدارة المالية,سموحة,30,1029240,98894.21
2022,Q2,الإدارة المالية,الإسكندرية - لوران,29,1246797,66511.59
2022,Q2,الإدارة المالية,الجيزة - 6 أكتوبر,28,1407672,154788.64
2022,Q2,الإدارة المالية,الدقي,45,1917945,222153.43
2022,Q2,الإدارة المالية,الجيزة - الشيخ زايد,16,598560,59659.8
2022,Q2,الإدارة المالية,الدقهلية - المنصورة,51,1634958,103318.77
2022,Q2,الإدارة المالية,الغربية - طنطا,27,1159758,98705.56
2022,Q2,الإدارة المالية,فرع التجمع,17,508419,30901.14
2022,Q2,الإدارة المالية,القاهرة - القرية الذكية,23,673578,43103.81
2022,Q2,الإدارة المالية,المعادي,44,2106060,217102.94
2022,Q2,الإدارة المالية,القاهرة - مصر الجديدة,61,1844640,130122.91
2022,Q2,الإدارة المالية,بورسعيد - الشرق,34,1463496,150493.12
2022,Q2,الإدارة المالية,دمياط - دمياط الجديدة,69,2242845,198678.41
2022,Q2,التسويق والمبيعات,أسيوط - أسيوط الجديدة,54,2119122,179874.14
2022,Q2,التسويق والمبيعات,الاسكندرية سموحة,27,1048221,96872.71
2022,Q2,التسويق والمبيعات,الإسكندرية - لوران,62,2799486,163084.62
2022,Q2,التسويق والمبيعات,الجيزة - 6 أكتوبر,63,3083157,273690.66
2022,Q2,التسويق والمبيعات,فرع الدقي,61,1954074,164537.51
2022,Q2,التسويق والمبيعات,الجيزة - الشيخ زايد,67,3458205,374188.23
2022,Q2,التسويق والمبيعات,الدقهلية - المنصورة,73,3515388,198339.51
2022,Q2,التسويق والمبيعات,الغربية - طنطا,78,2837250,217505.31
2022,Q2,التسويق والمبيعات,التجمع,28,1421112,107574.34
2022,Q2,التسويق والمبيعات,القاهرة - القرية الذكية,75,2684925,238405.91
2022,Q2,التسويق والمبيعات,القاهرة - المعادي,50,1686900,160661.58
2022,Q2,التسويق والمبيعات,القاهرة - مصر الجديدة,61,3261609,349457.57
2022,Q2,التسويق والمبيعات,بورسعيد - الشرق,22,733920,72945.8
2022,Q2,التسويق والمبيعات,دمياط - دمياط الجديدة,42,1584198,107540.89
2022,Q2,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,16,502320,37477.43
2022,Q2,العمليات وسلاسل الإمداد,الإسكندرية - سموحة,36,1100412,60897.2
2022,Q2,العمليات وسلاسل الإمداد,لوران,16,805680,68878.98
2022,Q2,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,67,3236100,311536.37
2022,Q2,العمليات وسلاسل الإمداد,الجيزة - الدقي,50,2294250,245355.58
2022,Q2,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,74,3046506,347747.4
2022,Q2,العمليات وسلاسل الإمداد,المنصورة,20,842760,44268.72
2022,Q2,العمليات وسلاسل الإمداد,الغربية - طنطا,26,955500,58771.13
2022,Q2,العمليات وسلاسل الإمداد,فرع التجمع,36,1794204,148248.26
2022,Q2,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,48,2461968,185950.06
2022,Q2,العمليات وسلاسل الإمداد,فرع المعادي,33,1090881,92437.49
2022,Q2,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,47,2422098,133672.39
2022,Q2,العمليات وسلاسل الإمداد,الشرق,51,1841202,127720.75
2022,Q2,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,16,514368,56456.16
2022,Q2,الموارد البشرية,أسيوط - أسيوط الجديدة,64,1907712,186318.69
2022,Q2,الموارد البشرية,سموحة,31,1029138,61321.43
2022,Q2,الموارد البشرية,لوران,72,2914272,205854.69
2022,Q2,الموارد البشرية,الجيزة - 6 أكتوبر,50,2573250,185924.08
2022,Q2,الموارد البشرية,الدقي,32,1629600,105695.42
2022,Q2,الموارد البشرية,الجيزة - الشيخ زايد,56,2387952,225637.45
2022,Q2,الموارد البشرية,الدقهلية - المنصورة,16,615216,54321.46
2022,Q2,الموارد البشرية,الغربية - طنطا,57,2507544,203796.74
2022,Q2,الموارد البشرية,القاهرة - التجمع الخامس,71,2311689,263682.45
2022,Q2,الموارد البشرية,القاهرة - القرية الذكية,37,1946163,232474.22
2022,Q2,الموارد البشرية,القاهرة - المعادي,64,2341632,217157.14
2022,Q2,الموارد البشرية,القاهرة - مصر الجديدة,17,720528,78439.29
2022,Q2,الموارد البشرية,بورسعيد - الشرق,26,957450,53501.76
2022,Q2,الموارد البشرية,دمياط - دمياط الجديدة,56,2444232,269513.36
2022,Q2,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,52,2510352,224018.18
2022,Q2,تكنولوجيا المعلومات,سموحة,27,1037691,85596.17
2022,Q2,تكنولوجيا المعلومات,لوران,54,1610280,133202.32
2022,Q2,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,71,2302743,269469.38
2022,Q2,تكنولوجيا المعلومات,الجيزة - الدقي,25,894900,53990.08
2022,Q2,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,54,2334258,138439.38
2022,Q2,تكنولوجيا المعلومات,الدقهلية - المنصورة,18,616356,59152.6
2022,Q2,تكنولوجيا المعلومات,الغربية - طنطا,42,1403262,129739.83
2022,Q2,تكنولوجيا المعلومات,القاهرة - التجمع الخامس,64,2011968,158158.21
2022,Q2,تكنولوجيا المعلومات,القاهرة - القرية الذكية,18,651834,35625.93
2022,Q2,تكنولوجيا المعلومات,فرع المعادي,20,674340,60345.17
2022,Q2,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,79,4106973,440212.85
2022,Q2,تكنولوجيا المعلومات,بورسعيد - الشرق,77,2296602,154128.86
2022,Q2,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,74,2345430,230819.08
2022,Q2,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,36,1248156,116660.04
2022,Q2,خدمة العملاء والعمليات المساندة,الاسكندرية سموحة,78,3149406,350771.47
2022,Q2,خدمة العملاء والعمليات المساندة,لوران,78,3753360,304212.48
2022,Q2,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,56,2537976,196863.41
2022,Q2,خدمة العملاء والعمليات المساندة,الجيزة - الدقي,20,584400,49567.47
2022,Q2,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,65,3231735,229943.58
2022,Q2,خدمة العملاء والعمليات المساندة,الدقهلية - المنصورة,75,3594600,397439.47
2022,Q2,خدمة العملاء والعمليات المساندة,الغربية - طنطا,46,1624674,160499.03
2022,Q2,خدمة العملاء والعمليات المساندة,التجمع,70,3016230,343942.39
2022,Q2,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,50,2465700,232353.03
2022,Q2,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,65,2746185,313473.6
2022,Q2,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,55,2705670,180830.62
2022,Q2,خدمة العملاء والعمليات المساندة,بورسعيد - الشرق,54,2747520,246157.18
2022,Q2,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,32,1568640,143134.35
2022,Q3,الإدارة المالية,أسيوط - أسيوط الجديدة,43,1491885,157933.64
2022,Q3,الإدارة المالية,سموحة,43,2267562,131203.09
2022,Q3,الإدارة المالية,الإسكندرية - لوران,21,661878,44501.26
2022,Q3,الإدارة المالية,الجيزة - 6 أكتوبر,54,2473092,245859.64
2022,Q3,الإدارة المالية,فرع الدقي,70,1987020,131618.26
2022,Q3,الإدارة المالية,الجيزة - الشيخ زايد,58,2964960,150504.77
2022,Q3,الإدارة المالية,الدقهلية - المنصورة,32,891168,73412.65
2022,Q3,الإدارة المالية,الغربية - طنطا,66,3392928,298886.22
2022,Q3,الإدارة المالية,فرع التجمع,58,1994214,193923.94
2022,Q3,الإدارة المالية,القاهرة - القرية الذكية,67,1875531,168699.23
2022,Q3,الإدارة المالية,المعادي,18,547776,49872.61
2022,Q3,الإدارة المالية,القاهرة - مصر الجديدة,22,892386,96424.16
2022,Q3,الإدارة المالية,بورسعيد - الشرق,57,2777040,289463.66
2022,Q3,الإدارة المالية,دمياط - دمياط الجديدة,52,2230800,232907.82
2022,Q3,التسويق والمبيعات,أسيوط - أسيوط الجديدة,22,769362,59361.27
2022,Q3,التسويق والمبيعات,الاسكندرية سموحة,36,1501632,178740.1
2022,Q3,التسويق والمبيعات,الإسكندرية - لوران,59,2578536,148941.37
2022,Q3,التسويق والمبيعات,الجيزة - 6 أكتوبر,61,1852326,118306.26
2022,Q3,التسويق والمبيعات,الجيزة - الدقي,40,2015160,154607.6
2022,Q3,التسويق والمبيعات,الجيزة - الشيخ زايد,64,2964480,317268.05
2022,Q3,التسويق والمبيعات,الدقهلية - المنصورة,57,1913319,110028.4
2022,Q3,التسويق والمبيعات,الغربية - طنطا,21,912177,62166.9
2022,Q3,التسويق والمبيعات,القاهرة - التجمع الخامس,47,2230479,214387.04
2022,Q3,التسويق والمبيعات,القاهرة - القرية الذكية,49,1621704,93118.57
2022,Q3,التسويق والمبيعات,فرع المعادي,32,1260672,84104.56
2022,Q3,التسويق والمبيعات,القاهرة - مصر الجديدة,79,3337671,238565.27
2022,Q3,التسويق والمبيعات,بورسعيد - الشرق,32,1319424,139029.47
2022,Q3,التسويق والمبيعات,دمياط - دمياط الجديدة,57,2059524,162555.71
2022,Q3,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,31,1509948,104413.84
2022,Q3,العمليات وسلاسل الإمداد,سموحة,44,1981320,116670.98
2022,Q3,العمليات وسلاسل الإمداد,الإسكندرية - لوران,55,1687785,171595.61
2022,Q3,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,61,2231319,199065.85
2022,Q3,العمليات وسلاسل الإمداد,الجيزة - الدقي,33,1359567,106131.97
2022,Q3,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,32,1592928,148692.46
2022,Q3,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,43,1876563,119175.65
2022,Q3,العمليات وسلاسل الإمداد,الغربية - طنطا,52,2715804,275233.62
2022,Q3,العمليات وسلاسل الإمداد,فرع التجمع,55,1875885,100298.54
2022,Q3,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,75,2658825,296044.89
2022,Q3,العمليات وسلاسل الإمداد,فرع المعادي,40,1851000,193647.22
2022,Q3,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,70,2600220,194483.12
2022,Q3,العمليات وسلاسل الإمداد,الشرق,78,2826720,224910.36
2022,Q3,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,52,2665572,275943.98
2022,Q3,الموارد البشرية,أسيوط - أسيوط الجديدة,33,1312641,155304.19
2022,Q3,الموارد البشرية,الاسكندرية سموحة,45,1661445,110157.38
2022,Q3,الموارد البشرية,الإسكندرية - لوران,24,862200,49095.07
2022,Q3,الموارد البشرية,الجيزة - 6 أكتوبر,40,2005440,110727.64
2022,Q3,الموارد البشرية,الجيزة - الدقي,29,1219131,116174.58
2022,Q3,الموارد البشرية,الجيزة - الشيخ زايد,39,1767519,105352.08
2022,Q3,الموارد البشرية,الدقهلية - المنصورة,71,3789483,199857.87
2022,Q3,الموارد البشرية,الغربية - طنطا,60,3038220,304707.18
2022,Q3,الموارد البشرية,فرع التجمع,41,1201956,132270.48
2022,Q3,الموارد البشرية,القاهرة - القرية الذكية,51,1454418,110651.22
2022,Q3,الموارد البشرية,القاهرة - المعادي,73,2906349,149063.95
2022,Q3,الموارد البشرية,القاهرة - مصر الجديدة,51,1999404,126823.19
2022,Q3,الموارد البشرية,الشرق,54,1991628,140501.64
2022,Q3,الموارد البشرية,دمياط - دمياط الجديدة,77,2268420,160071.12
2022,Q3,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,22,633138,53134.75
2022,Q3,تكنولوجيا المعلومات,الإسكندرية - سموحة,40,1786800,206374.22
2022,Q3,تكنولوجيا المعلومات,لوران,60,3050280,209775.0
2022,Q3,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,33,1342539,131276.82
2022,Q3,تكنولوجيا المعلومات,الدقي,59,2167542,110315.37
2022,Q3,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,71,2965599,152200.97
2022,Q3,تكنولوجيا المعلومات,الدقهلية - المنصورة,36,1531656,157445.83
2022,Q3,تكنولوجيا المعلومات,الغربية - طنطا,59,3089181,310599.9
2022,Q3,تكنولوجيا المعلومات,فرع التجمع,78,3160404,275966.29
2022,Q3,تكنولوجيا المعلومات,القاهرة - القرية الذكية,59,2397465,249868.25
2022,Q3,تكنولوجيا المعلومات,القاهرة - المعادي,76,2578680,213458.43
2022,Q3,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,60,1980360,146773.88
2022,Q3,تكنولوجيا المعلومات,بورسعيد - الشرق,73,2540838,245123.14
2022,Q3,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,46,2085456,183055.44
2022,Q3,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,66,2985642,321792.03
2022,Q3,خدمة العملاء والعمليات المساندة,سموحة,52,1913808,111904.96
2022,Q3,خدمة العملاء والعمليات المساندة,الإسكندرية - لوران,41,1586208,134717.71
2022,Q3,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,70,3140340,171265.12
2022,Q3,خدمة العملاء والعمليات المساندة,فرع الدقي,26,952692,95131.68
2022,Q3,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,35,1134210,128602.77
2022,Q3,خدمة العملاء والعمليات المساندة,المنصورة,38,1999674,159796.76
2022,Q3,خدمة العملاء والعمليات المساندة,الغربية - طنطا,24,1034712,102408.11
2022,Q3,خدمة العملاء والعمليات المساندة,القاهرة - التجمع الخامس,32,896448,97309.53
2022,Q3,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,37,1932732,146768.55
2022,Q3,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,41,2018676,222819.88
2022,Q3,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,75,2175075,109040.13
2022,Q3,خدمة العملاء والعمليات المساندة,الشرق,78,2500758,274611.66
2022,Q3,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,61,1737585,189227.06
2022,Q4,الإدارة المالية,أسيوط - أسيوط الجديدة,48,2572560,253830.56
2022,Q4,الإدارة المالية,الاسكندرية سموحة,18,504900,49369.99
2022,Q4,الإدارة المالية,الإسكندرية - لوران,40,1331160,115999.71
2022,Q4,الإدارة المالية,الجيزة - 6 أكتوبر,36,1743012,141008.84
2022,Q4,الإدارة المالية,الدقي,39,1545336,103145.3
2022,Q4,الإدارة المالية,الجيزة - الشيخ زايد,62,1713990,201883.04
2022,Q4,الإدارة المالية,الدقهلية - المنصورة,40,2005920,192837.82
2022,Q4,الإدارة المالية,الغربية - طنطا,54,2151036,146881.25
2022,Q4,الإدارة المالية,التجمع,39,1747512,109443.98
2022,Q4,الإدارة المالية,القاهرة - القرية الذكية,24,1109736,127808.15
2022,Q4,الإدارة المالية,المعادي,75,2609325,241510.51
2022,Q4,الإدارة المالية,القاهرة - مصر الجديدة,46,1975194,184306.62
2022,Q4,الإدارة المالية,بورسعيد - الشرق,27,1221885,118612.14
2022,Q4,الإدارة المالية,دمياط - دمياط الجديدة,76,2911560,225632.18
2022,Q4,التسويق والمبيعات,أسيوط - أسيوط الجديدة,54,2538378,154395.69
2022,Q4,التسويق والمبيعات,الإسكندرية - سموحة,26,858546,100195.03
2022,Q4,التسويق والمبيعات,لوران,61,2696688,246900.96
2022,Q4,التسويق والمبيعات,الجيزة - 6 أكتوبر,49,1646988,125667.11
2022,Q4,التسويق والمبيعات,الدقي,80,4154640,324773.22
2022,Q4,التسويق والمبيعات,الجيزة - الشيخ زايد,23,808542,89196.15
2022,Q4,التسويق والمبيعات,المنصورة,38,1303932,72389.78
2022,Q4,التسويق والمبيعات,الغربية - طنطا,78,3050892,243411.37
2022,Q4,التسويق والمبيعات,القاهرة - التجمع الخامس,30,1304730,135542.81
2022,Q4,التسويق والمبيعات,القاهرة - القرية الذكية,16,510480,40124.85
2022,Q4,التسويق والمبيعات,فرع المعادي,28,1459332,126553.34
2022,Q4,التسويق والمبيعات,القاهرة - مصر الجديدة,66,2314422,233399.08
2022,Q4,التسويق والمبيعات,بورسعيد - الشرق,78,3821454,386974.32
2022,Q4,التسويق والمبيعات,دمياط - دمياط الجديدة,73,3790671,249576.23
2022,Q4,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,62,1758258,196929.73
2022,Q4,العمليات وسلاسل الإمداد,الاسكندرية سموحة,61,1723860,204343.53
2022,Q4,العمليات وسلاسل الإمداد,الإسكندرية - لوران,67,2036130,224215.38
2022,Q4,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,35,1566390,97514.75
2022,Q4,العمليات وسلاسل الإمداد,الجيزة - الدقي,29,1278639,95304.92
2022,Q4,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,37,1017981,111042.55
2022,Q4,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,78,4112082,409526.24
2022,Q4,العمليات وسلاسل الإمداد,الغربية - طنطا,62,2638038,149970.33
2022,Q4,العمليات وسلاسل الإمداد,التجمع,20,987900,72971.42
2022,Q4,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,49,1917174,126334.5
2022,Q4,العمليات وسلاسل الإمداد,القاهرة - المعادي,50,1921350,205806.15
2022,Q4,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,15,571770,48721.76
2022,Q4,العمليات وسلاسل الإمداد,بورسعيد - الشرق,26,751686,71130.15
2022,Q4,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,48,2048544,156893.37
2022,Q4,الموارد البشرية,أسيوط - أسيوط الجديدة,35,1272810,72126.96
2022,Q4,الموارد البشرية,الإسكندرية - سموحة,51,2561832,231728.94
2022,Q4,الموارد البشرية,لوران,35,1261785,145514.51
2022,Q4,الموارد البشرية,الجيزة - 6 أكتوبر,74,2978796,310702.93
2022,Q4,الموارد البشرية,الدقي,38,1470714,155052.01
2022,Q4,الموارد البشرية,الجيزة - الشيخ زايد,67,2277330,133052.29
2022,Q4,الموارد البشرية,الدقهلية - المنصورة,61,2219058,247120.63
2022,Q4,الموارد البشرية,الغربية - طنطا,23,699246,81727.91
2022,Q4,الموارد البشرية,التجمع,56,2781576,187771.94
2022,Q4,الموارد البشرية,القاهرة - القرية الذكية,66,2455002,198105.75
2022,Q4,الموارد البشرية,القاهرة - المعادي,75,2214000,227520.62
2022,Q4,الموارد البشرية,القاهرة - مصر الجديدة,52,2523924,129104.74
2022,Q4,الموارد البشرية,الشرق,75,3964500,301720.35
2022,Q4,الموارد البشرية,دمياط - دمياط الجديدة,17,906525,47756.53
2022,Q4,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,39,1101789,76151.84
2022,Q4,تكنولوجيا المعلومات,الاسكندرية سموحة,15,694980,56656.15
2022,Q4,تكنولوجيا المعلومات,الإسكندرية - لوران,33,1663299,152788.42
2022,Q4,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,17,827679,63787.1
2022,Q4,تكنولوجيا المعلومات,الجيزة - الدقي,77,2278353,173197.74
2022,Q4,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,67,2197734,187953.54
2022,Q4,تكنولوجيا المعلومات,المنصورة,15,491580,33704.84
2022,Q4,تكنولوجيا المعلومات,الغربية - طنطا,72,3394008,170236.77
2022,Q4,تكنولوجيا المعلومات,فرع التجمع,19,1007589,56165.63
2022,Q4,تكنولوجيا المعلومات,القاهرة - القرية الذكية,20,730500,61913.1
2022,Q4,تكنولوجيا المعلومات,القاهرة - المعادي,42,1820952,98910.47
2022,Q4,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,18,847368,62143.01
2022,Q4,تكنولوجيا المعلومات,الشرق,50,1570200,91582.39
2022,Q4,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,79,3562110,380062.08
2022,Q4,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,65,2478450,147564.91
2022,Q4,خدمة العملاء والعمليات المساندة,الاسكندرية سموحة,39,1725516,161734.96
2022,Q4,خدمة العملاء والعمليات المساندة,لوران,38,1737930,204162.11
2022,Q4,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,65,2256735,168015.87
