EmployeeID,CourseID,CourseName,SkillDomain,CompletionDate,Score,Status,Cost_EGP
EMP-13680,CRS-302,Modern Data Stack Architecture,Tech,2025-10-10,73,Completed,4000
EMP-13680,CRS-302,Modern Data Stack Architecture,Tech,2025-12-03,94,Completed,4000
EMP-13680,CRS-102,Python for Data Engineering,Tech,2023-05-26,98,Completed,2500
EMP-14828,CRS-103,Power BI DAX Masterclass,Tech,2025-01-18,91,Completed,2000
EMP-14828,CRS-102,Python for Data Engineering,Tech,2025-08-22,70,Completed,2500
EMP-14828,CRS-102,Python for Data Engineering,Tech,2025-09-05,83,Completed,2500
EMP-14828,CRS-201,Agile Project Management,Leadership,2024-03-17,51,Failed,0
EMP-14828,CRS-201,Agile Project Management,Leadership,2024-04-25,91,Completed,1200
EMP-14828,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-08-09,94,Completed,800
EMP-12279,CRS-101,Advanced SQL & Performance Tuning,Tech,2026-01-03,89,Completed,1500
EMP-12279,CRS-301,Cloud Security & Compliance,Compliance,2023-06-21,72,Completed,3000
EMP-12279,CRS-301,Cloud Security & Compliance,Compliance,2023-07-18,100,Completed,3000
EMP-16631,CRS-103,Power BI DAX Masterclass,Tech,2025-03-11,90,Completed,2000
EMP-10054,CRS-301,Cloud Security & Compliance,Compliance,2024-09-27,93,Completed,3000
EMP-10054,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-05-03,51,Failed,0
EMP-10054,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-06-13,78,Completed,1500
EMP-16217,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-04-23,91,Completed,800
EMP-16602,CRS-101,Advanced SQL & Performance Tuning,Tech,2023-10-09,75,Completed,1500
EMP-16602,CRS-302,Modern Data Stack Architecture,Tech,2024-12-11,86,Completed,4000
EMP-11308,CRS-102,Python for Data Engineering,Tech,2023-09-17,93,Completed,2500
EMP-11308,CRS-103,Power BI DAX Masterclass,Tech,2023-03-02,95,Completed,2000
EMP-15720,CRS-103,Power BI DAX Masterclass,Tech,2026-03-26,85,Completed,2000
EMP-15720,CRS-301,Cloud Security & Compliance,Compliance,2025-01-07,85,Completed,3000
EMP-13463,CRS-102,Python for Data Engineering,Tech,2024-06-06,98,Completed,2500
EMP-12788,CRS-102,Python for Data Engineering,Tech,2025-11-08,71,Completed,2500
EMP-12788,CRS-102,Python for Data Engineering,Tech,2025-11-22,82,Completed,2500
EMP-12788,CRS-301,Cloud Security & Compliance,Compliance,2023-04-05,81,Completed,3000
EMP-12277,CRS-302,Modern Data Stack Architecture,Tech,2023-03-14,95,Completed,4000
EMP-11274,CRS-201,Agile Project Management,Leadership,2024-10-21,83,Completed,1200
EMP-11274,CRS-102,Python for Data Engineering,Tech,2024-10-17,58,Failed,0
EMP-11274,CRS-102,Python for Data Engineering,Tech,2024-11-23,78,Completed,2500
EMP-11764,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-04-02,71,Completed,1500
EMP-11764,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-04-20,89,Completed,1500
EMP-11764,CRS-102,Python for Data Engineering,Tech,2024-08-01,59,Failed,0
EMP-11764,CRS-102,Python for Data Engineering,Tech,2024-09-13,75,Completed,2500
EMP-16255,CRS-103,Power BI DAX Masterclass,Tech,2026-02-28,93,Completed,2000
EMP-12758,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-10-07,93,Completed,800
EMP-10838,CRS-102,Python for Data Engineering,Tech,2023-01-14,70,Completed,2500
EMP-10838,CRS-102,Python for Data Engineering,Tech,2023-02-19,95,Completed,2500
EMP-10838,CRS-302,Modern Data Stack Architecture,Tech,2023-01-20,70,Completed,4000
EMP-10838,CRS-302,Modern Data Stack Architecture,Tech,2023-02-27,98,Completed,4000
EMP-10760,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-12-21,83,Completed,1500
EMP-10760,CRS-102,Python for Data Engineering,Tech,2023-05-03,92,Completed,2500
EMP-13113,CRS-102,Python for Data Engineering,Tech,2025-11-30,92,Completed,2500
EMP-10793,CRS-301,Cloud Security & Compliance,Compliance,2023-06-23,73,Completed,3000
EMP-10793,CRS-301,Cloud Security & Compliance,Compliance,2023-08-16,87,Completed,3000
EMP-12941,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-05-08,91,Completed,800
EMP-16943,CRS-103,Power BI DAX Masterclass,Tech,2024-10-07,92,Completed,2000
EMP-12818,CRS-201,Agile Project Management,Leadership,2024-07-10,72,Completed,1200
EMP-12818,CRS-201,Agile Project Management,Leadership,2024-08-01,99,Completed,1200
EMP-14946,CRS-101,Advanced SQL & Performance Tuning,Tech,2023-08-05,84,Completed,1500
EMP-14946,CRS-102,Python for Data Engineering,Tech,2025-04-12,87,Completed,2500
EMP-12167,CRS-201,Agile Project Management,Leadership,2025-08-06,58,Failed,0
EMP-12167,CRS-201,Agile Project Management,Leadership,2025-08-30,100,Completed,1200
EMP-12167,CRS-103,Power BI DAX Masterclass,Tech,2024-09-15,71,Completed,2000
EMP-12167,CRS-103,Power BI DAX Masterclass,Tech,2024-10-19,79,Completed,2000
EMP-16612,CRS-102,Python for Data Engineering,Tech,2024-12-29,62,Failed,0
EMP-16612,CRS-102,Python for Data Engineering,Tech,2025-01-31,83,Completed,2500
EMP-10356,CRS-102,Python for Data Engineering,Tech,2025-07-15,93,Completed,2500
EMP-10356,CRS-101,Advanced SQL & Performance Tuning,Tech,2023-07-13,73,Completed,1500
EMP-10356,CRS-101,Advanced SQL & Performance Tuning,Tech,2023-08-04,78,Completed,1500
EMP-10356,CRS-201,Agile Project Management,Leadership,2023-01-25,96,Completed,1200
EMP-15978,CRS-102,Python for Data Engineering,Tech,2025-03-31,91,Completed,2500
EMP-13764,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-06-14,70,Completed,800
EMP-13764,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-07-10,95,Completed,800
EMP-13764,CRS-302,Modern Data Stack Architecture,Tech,2025-06-27,72,Completed,4000
EMP-13764,CRS-302,Modern Data Stack Architecture,Tech,2025-08-01,78,Completed,4000
EMP-14393,CRS-201,Agile Project Management,Leadership,2023-04-14,99,Completed,1200
EMP-11023,CRS-201,Agile Project Management,Leadership,2025-02-22,75,Completed,1200
EMP-11023,CRS-302,Modern Data Stack Architecture,Tech,2024-01-19,78,Completed,4000
EMP-11023,CRS-101,Advanced SQL & Performance Tuning,Tech,2023-11-01,89,Completed,1500
EMP-13101,CRS-103,Power BI DAX Masterclass,Tech,2025-10-18,98,Completed,2000
EMP-10646,CRS-103,Power BI DAX Masterclass,Tech,2025-02-23,83,Completed,2000
EMP-14523,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-02-09,95,Completed,800
EMP-14523,CRS-102,Python for Data Engineering,Tech,2025-09-09,95,Completed,2500
EMP-14523,CRS-302,Modern Data Stack Architecture,Tech,2026-03-04,80,Completed,4000
EMP-12402,CRS-103,Power BI DAX Masterclass,Tech,2026-05-07,70,Completed,2000
EMP-16795,CRS-201,Agile Project Management,Leadership,2025-12-20,94,Completed,1200
EMP-15150,CRS-102,Python for Data Engineering,Tech,2023-07-25,91,Completed,2500
EMP-15067,CRS-302,Modern Data Stack Architecture,Tech,2023-04-25,88,Completed,4000
EMP-15067,CRS-301,Cloud Security & Compliance,Compliance,2025-03-06,99,Completed,3000
EMP-12963,CRS-102,Python for Data Engineering,Tech,2024-10-13,99,Completed,2500
EMP-12963,CRS-302,Modern Data Stack Architecture,Tech,2024-12-21,68,Failed,0
EMP-12963,CRS-302,Modern Data Stack Architecture,Tech,2025-01-16,100,Completed,4000
EMP-12963,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-10-05,79,Completed,800
EMP-14730,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-04-21,69,Failed,0
EMP-14730,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-06-04,75,Completed,1500
EMP-11576,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-02-17,80,Completed,800
EMP-15772,CRS-302,Modern Data Stack Architecture,Tech,2023-02-14,88,Completed,4000
EMP-15772,CRS-103,Power BI DAX Masterclass,Tech,2023-10-18,97,Completed,2000
EMP-15772,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-01-17,81,Completed,1500
EMP-10570,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-11-20,59,Failed,0
EMP-10570,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-12-14,98,Completed,800
EMP-10570,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-06-13,90,Completed,1500
EMP-10376,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-12-31,91,Completed,800
EMP-10376,CRS-301,Cloud Security & Compliance,Compliance,2023-12-26,79,Completed,3000
EMP-15418,CRS-102,Python for Data Engineering,Tech,2023-01-04,82,Completed,2500
EMP-11867,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-01-08,80,Completed,800
EMP-11867,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-03-28,73,Completed,1500
EMP-11867,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-04-20,85,Completed,1500
EMP-16333,CRS-102,Python for Data Engineering,Tech,2024-10-16,90,Completed,2500
EMP-16333,CRS-103,Power BI DAX Masterclass,Tech,2023-07-01,60,Failed,0
EMP-16333,CRS-103,Power BI DAX Masterclass,Tech,2023-07-28,82,Completed,2000
EMP-12371,CRS-103,Power BI DAX Masterclass,Tech,2023-08-10,71,Completed,2000
EMP-12371,CRS-103,Power BI DAX Masterclass,Tech,2023-10-09,88,Completed,2000
EMP-12371,CRS-302,Modern Data Stack Architecture,Tech,2023-12-07,85,Completed,4000
EMP-10654,CRS-201,Agile Project Management,Leadership,2023-07-27,95,Completed,1200
EMP-11908,CRS-301,Cloud Security & Compliance,Compliance,2023-11-30,72,Completed,3000
EMP-11908,CRS-301,Cloud Security & Compliance,Compliance,2023-12-16,84,Completed,3000
EMP-11908,CRS-102,Python for Data Engineering,Tech,2023-02-11,78,Completed,2500
EMP-10828,CRS-102,Python for Data Engineering,Tech,2025-02-07,55,Failed,0
EMP-10828,CRS-102,Python for Data Engineering,Tech,2025-02-26,85,Completed,2500
EMP-13114,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-03-05,100,Completed,800
EMP-13114,CRS-201,Agile Project Management,Leadership,2026-05-28,63,Failed,0
EMP-12278,CRS-102,Python for Data Engineering,Tech,2025-04-18,93,Completed,2500
EMP-13715,CRS-301,Cloud Security & Compliance,Compliance,2024-09-01,57,Failed,0
EMP-13715,CRS-301,Cloud Security & Compliance,Compliance,2024-10-21,92,Completed,3000
EMP-13715,CRS-103,Power BI DAX Masterclass,Tech,2025-10-02,71,Completed,2000
EMP-13715,CRS-103,Power BI DAX Masterclass,Tech,2025-11-12,77,Completed,2000
EMP-15208,CRS-301,Cloud Security & Compliance,Compliance,2026-05-14,65,Failed,0
EMP-16834,CRS-103,Power BI DAX Masterclass,Tech,2023-06-17,65,Failed,0
EMP-16834,CRS-103,Power BI DAX Masterclass,Tech,2023-07-26,90,Completed,2000
EMP-12989,CRS-301,Cloud Security & Compliance,Compliance,2024-06-26,90,Completed,3000
EMP-11333,CRS-201,Agile Project Management,Leadership,2025-01-26,55,Failed,0
EMP-11333,CRS-201,Agile Project Management,Leadership,2025-03-09,89,Completed,1200
EMP-13033,CRS-302,Modern Data Stack Architecture,Tech,2024-07-04,71,Completed,4000
EMP-13033,CRS-302,Modern Data Stack Architecture,Tech,2024-08-31,96,Completed,4000
EMP-12911,CRS-301,Cloud Security & Compliance,Compliance,2024-12-05,83,Completed,3000
EMP-11717,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-03-03,83,Completed,800
EMP-11717,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-08-30,98,Completed,1500
EMP-15491,CRS-201,Agile Project Management,Leadership,2023-03-13,88,Completed,1200
EMP-12188,CRS-301,Cloud Security & Compliance,Compliance,2023-09-04,75,Completed,3000
EMP-12188,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-12-09,95,Completed,800
EMP-12188,CRS-102,Python for Data Engineering,Tech,2023-03-29,72,Completed,2500
EMP-12188,CRS-102,Python for Data Engineering,Tech,2023-05-09,81,Completed,2500
EMP-15750,CRS-301,Cloud Security & Compliance,Compliance,2024-10-16,72,Completed,3000
EMP-15750,CRS-301,Cloud Security & Compliance,Compliance,2024-11-24,92,Completed,3000
EMP-15750,CRS-102,Python for Data Engineering,Tech,2024-10-29,86,Completed,2500
EMP-15750,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-01-26,88,Completed,800
EMP-15750,CRS-103,Power BI DAX Masterclass,Tech,2025-05-09,53,Failed,0
EMP-15750,CRS-103,Power BI DAX Masterclass,Tech,2025-06-28,93,Completed,2000
EMP-15600,CRS-101,Advanced SQL & Performance Tuning,Tech,2026-02-26,95,Completed,1500
EMP-15600,CRS-302,Modern Data Stack Architecture,Tech,2026-01-01,98,Completed,4000
EMP-15309,CRS-201,Agile Project Management,Leadership,2026-03-17,69,Failed,0
EMP-15309,CRS-201,Agile Project Management,Leadership,2026-04-17,87,Completed,1200
EMP-10585,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-04-02,82,Completed,800
EMP-14991,CRS-102,Python for Data Engineering,Tech,2023-04-11,99,Completed,2500
EMP-15202,CRS-103,Power BI DAX Masterclass,Tech,2024-09-12,78,Completed,2000
EMP-11402,CRS-301,Cloud Security & Compliance,Compliance,2023-10-03,93,Completed,3000
EMP-11402,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-10-19,93,Completed,1500
EMP-11402,CRS-102,Python for Data Engineering,Tech,2023-07-02,84,Completed,2500
EMP-14376,CRS-301,Cloud Security & Compliance,Compliance,2025-02-04,86,Completed,3000
EMP-14376,CRS-201,Agile Project Management,Leadership,2023-05-15,92,Completed,1200
EMP-14376,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-10-05,98,Completed,800
EMP-15974,CRS-302,Modern Data Stack Architecture,Tech,2024-02-16,51,Failed,0
EMP-15974,CRS-302,Modern Data Stack Architecture,Tech,2024-03-04,86,Completed,4000
EMP-12006,CRS-103,Power BI DAX Masterclass,Tech,2025-08-08,82,Completed,2000
EMP-12006,CRS-302,Modern Data Stack Architecture,Tech,2023-09-11,77,Completed,4000
EMP-11339,CRS-102,Python for Data Engineering,Tech,2026-04-16,81,Completed,2500
EMP-11339,CRS-201,Agile Project Management,Leadership,2024-06-13,52,Failed,0
EMP-11339,CRS-201,Agile Project Management,Leadership,2024-06-30,80,Completed,1200
EMP-13787,CRS-302,Modern Data Stack Architecture,Tech,2024-04-06,78,Completed,4000
EMP-13787,CRS-102,Python for Data Engineering,Tech,2025-11-17,97,Completed,2500
EMP-13787,CRS-301,Cloud Security & Compliance,Compliance,2023-01-19,65,Failed,0
EMP-13787,CRS-301,Cloud Security & Compliance,Compliance,2023-02-13,94,Completed,3000
EMP-13109,CRS-102,Python for Data Engineering,Tech,2024-09-17,83,Completed,2500
EMP-13109,CRS-103,Power BI DAX Masterclass,Tech,2024-12-15,78,Completed,2000
EMP-13109,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-09-10,96,Completed,800
EMP-12212,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-02-05,90,Completed,1500
EMP-12212,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-08-01,59,Failed,0
EMP-12212,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-08-19,85,Completed,800
EMP-15243,CRS-301,Cloud Security & Compliance,Compliance,2024-09-03,74,Completed,3000
EMP-15243,CRS-301,Cloud Security & Compliance,Compliance,2024-10-02,76,Completed,3000
EMP-15243,CRS-103,Power BI DAX Masterclass,Tech,2026-05-13,91,Completed,2000
EMP-15243,CRS-302,Modern Data Stack Architecture,Tech,2023-10-14,90,Completed,4000
EMP-15243,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-08-28,99,Completed,800
EMP-15638,CRS-101,Advanced SQL & Performance Tuning,Tech,2026-04-09,96,Completed,1500
EMP-14563,CRS-102,Python for Data Engineering,Tech,2025-12-30,99,Completed,2500
EMP-14563,CRS-301,Cloud Security & Compliance,Compliance,2025-01-04,79,Completed,3000
EMP-11800,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-07-19,74,Completed,800
EMP-11800,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-09-17,100,Completed,800
EMP-11800,CRS-102,Python for Data Engineering,Tech,2026-02-18,100,Completed,2500
EMP-11800,CRS-103,Power BI DAX Masterclass,Tech,2024-11-18,77,Completed,2000
EMP-15609,CRS-103,Power BI DAX Masterclass,Tech,2024-11-09,78,Completed,2000
EMP-15609,CRS-201,Agile Project Management,Leadership,2025-08-07,53,Failed,0
EMP-15609,CRS-201,Agile Project Management,Leadership,2025-09-30,93,Completed,1200
EMP-12657,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-08-25,56,Failed,0
EMP-12657,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-10-21,87,Completed,800
EMP-12657,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-12-21,59,Failed,0
EMP-12657,CRS-101,Advanced SQL & Performance Tuning,Tech,2026-01-13,79,Completed,1500
EMP-16295,CRS-103,Power BI DAX Masterclass,Tech,2023-10-21,97,Completed,2000
EMP-16295,CRS-201,Agile Project Management,Leadership,2023-06-15,80,Completed,1200
EMP-16295,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-12-29,60,Failed,0
EMP-16295,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-02-09,83,Completed,800
EMP-16295,CRS-301,Cloud Security & Compliance,Compliance,2024-03-04,88,Completed,3000
EMP-16357,CRS-302,Modern Data Stack Architecture,Tech,2023-06-30,89,Completed,4000
EMP-10459,CRS-201,Agile Project Management,Leadership,2025-09-04,62,Failed,0
EMP-10459,CRS-201,Agile Project Management,Leadership,2025-09-30,98,Completed,1200
EMP-11877,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-10-21,66,Failed,0
EMP-11877,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-11-04,95,Completed,1500
EMP-16733,CRS-102,Python for Data Engineering,Tech,2024-12-06,59,Failed,0
EMP-16733,CRS-102,Python for Data Engineering,Tech,2025-01-21,93,Completed,2500
EMP-16733,CRS-301,Cloud Security & Compliance,Compliance,2024-09-18,72,Completed,3000
EMP-16733,CRS-301,Cloud Security & Compliance,Compliance,2024-10-21,84,Completed,3000
EMP-10263,CRS-202,Cross-Cultural Business Communication,Soft Skills,2026-05-06,80,Completed,800
EMP-16595,CRS-102,Python for Data Engineering,Tech,2025-09-30,94,Completed,2500
EMP-16595,CRS-103,Power BI DAX Masterclass,Tech,2025-04-06,77,Completed,2000
EMP-12585,CRS-102,Python for Data Engineering,Tech,2023-09-10,92,Completed,2500
EMP-12585,CRS-301,Cloud Security & Compliance,Compliance,2023-03-18,98,Completed,3000
EMP-12585,CRS-101,Advanced SQL & Performance Tuning,Tech,2025-12-31,71,Completed,1500
EMP-12585,CRS-101,Advanced SQL & Performance Tuning,Tech,2026-01-17,96,Completed,1500
EMP-12585,CRS-302,Modern Data Stack Architecture,Tech,2023-08-10,71,Completed,4000
EMP-12585,CRS-302,Modern Data Stack Architecture,Tech,2023-09-19,89,Completed,4000
EMP-13287,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-06-01,92,Completed,800
EMP-12194,CRS-301,Cloud Security & Compliance,Compliance,2024-09-08,63,Failed,0
EMP-12194,CRS-301,Cloud Security & Compliance,Compliance,2024-10-25,83,Completed,3000
EMP-12194,CRS-101,Advanced SQL & Performance Tuning,Tech,2026-05-25,83,Completed,1500
EMP-10543,CRS-301,Cloud Security & Compliance,Compliance,2023-08-30,73,Completed,3000
EMP-10543,CRS-301,Cloud Security & Compliance,Compliance,2023-10-14,81,Completed,3000
EMP-11729,CRS-302,Modern Data Stack Architecture,Tech,2025-12-07,81,Completed,4000
EMP-11729,CRS-103,Power BI DAX Masterclass,Tech,2024-08-27,71,Completed,2000
EMP-11729,CRS-103,Power BI DAX Masterclass,Tech,2024-09-23,97,Completed,2000
EMP-14647,CRS-103,Power BI DAX Masterclass,Tech,2023-01-27,52,Failed,0
EMP-14647,CRS-103,Power BI DAX Masterclass,Tech,2023-03-18,96,Completed,2000
EMP-14647,CRS-102,Python for Data Engineering,Tech,2025-10-08,54,Failed,0
EMP-14647,CRS-102,Python for Data Engineering,Tech,2025-11-23,77,Completed,2500
